CountryName,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010
Yemen,0.62,0.62,0.66,0.67,0.68,0.69,0.69,0.71,0.72,0.72
Iraq,0.74,0.74,0.75,0.76,0.76,0.78,0.79,0.78,0.79,0.79
India,0.76,0.76,0.78,0.78,0.78,0.78,0.79,0.79,0.80,0.80
Nepal,0.77,0.78,0.79,0.79,0.81,0.83,0.83,0.85,0.88,0.90
Togo,0.78,0.78,0.79,0.79,0.80,0.80,0.80,0.80,0.80,0.80
Egypt,0.82,0.82,0.82,0.83,0.82,0.83,0.84,0.84,0.85,0.85
China,0.90,0.90,0.91,0.92,0.92,0.93,0.93,0.93,0.94,0.94
Mexico,0.91,0.91,0.92,0.92,0.92,0.93,0.93,0.93,0.94,0.94
Korea,0.91,0.91,0.91,0.91,0.92,0.92,0.92,0.92,0.92,0.93
South Africa,0.94,0.94,0.94,0.94,0.93,0.93,0.94,0.94,0.94,0.95
United Kingdom,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Australia,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97
Canada,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
United States,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
France,0.99,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99
